#Word;Pleasantness;Activation;Imagery
accesar;2.4545;1.9231;2.4
acceso;1.84646;2.04612;2.32
accesorios;1.6667;1.6667;2.2
accidente;1.0000;2.3750;3.0
accidente de trabajo;1.0000;2.3750;3.0
acción;2.032;2.246025;2.175
accionar;1.79465;2.12855;2.4
acción líder;1.7500;1.8750;2.4
acechador;1.7778;1.83335;2.1
acechar;2.0625;1.9026;2.3
acecho;1.8571;1.8333;2.0
acecinar;2.5556;2.0000;2.0
aceitar;1.5714;1.5714;2.6
aceite;1.5714;1.5714;2.6
aceleración;1.89285;2.25;2.2
acelerada;2.2857;2.5000;2.4
acelerado;3.0000;2.6364;1.8
acelerar;1.83474;2.46428;1.84
acelerarse;1.8571;1.5714;1.4
acento tónico;1.2222;2.71425;1.7
acentuado;1.9091;2.2500;1.8
acentuar;1.2222;2.71425;1.7
acepción;1.8571;1.8000;1.0
aceptable;1.6667;2.0000;1.2
aceptación;2.5000;1.4286;1.6
aceptado;1.6667;1.3333;1.8
aceptar;2.022025;1.706925;2.15
acera;1.375;1.4028;3.0
acerbo;1.50253333333;2.17563333333;2.53333333333
acerca de;1.8000;1.2500;1.4
acercamiento;1.7778;2.1111;1.6
acercar;1.7778;1.4444;1.6
acercarse;1.6389;1.8889;1.5
acercarse a;1.6032;1.80555;2.0
acercarse con pasos pesados;1.0000;2.5000;1.8
acero;1.53966666667;1.7965;2.4
acérrimamente;2.7500;2.1000;2.2
acertado;2.54765;1.9;1.5
acertar;1.783325;1.921225;1.65
acertijo;2.0625;1.7778;2.4
achaque;1.5111;1.66346666667;1.66666666667
achicamiento;1.6667;1.4286;1.2
achicar;2.4286;1.1111;1.4
a chorro;2.2500;1.6000;2.6
acicalado;2.25715;1.54765;1.7
acicalar;2.0000;1.7000;2.2
acícula;1.5000;2.1250;2.6
acidez;1.3333;2.1250;1.6
ácido;1.36363333333;2.0923;2.66666666667
acierto;2.17855;1.73335;2.0
aclamar;1.7500;1.7500;2.0
aclaramiento;2.1818;1.8182;2.2
aclarar;2.22725;2.17535;2.4
aclararse;1.8750;2.0000;2.8
acogedor;2.5714;1.8889;2.0
acogida;2.425;1.70835;1.6
acogotar;1.2143;2.0;2.6
acometer;1.0000;2.5714;2.8
acometida;1.2143;2.45235;2.4
acomodador;1.3333;1.6667;3.0
acomodar;1.7778;1.4286;2.8
acomodo;2.19046666667;2.14286666667;2.13333333333
acompañante;2.66665;1.88335;2.9
acompañar;2.44446666667;2.05726666667;1.8
acompasar;2.4286;2.1111;3.0
acondicionador;1.8571;1.3750;2.6
acondicionamiento;1.7500;1.7778;2.2
acondicionar;1.5000;1.1429;1.0
acongojar;1.303;2.3;1.8
aconsejar;2.0000;2.4000;1.6
acontecimiento;1.71196;2.33832;1.76
acopiar;1.9000;2.0833;1.6
acopio;1.94645;2.0;1.9
acoplar;2.34444;1.70658;2.32
acordar;2.30953333333;1.84443333333;1.86666666667
acordarse de;1.71665;1.56665;1.9
acorralar;2.09145;1.5098;2.9
acortar distancias;2.4286;1.5556;1.2
a corto;1.1250;1.5556;2.8
a corto plazo;1.1250;1.5556;2.8
acosar;1.13395;2.13395;2.5
acostado;1.5;1.56945;1.8
acostar;1.85715;1.8125;1.3
acostarse;1.38096666667;1.6181;1.8
acostumbrar;1.875;1.85715;2.6
acostumbrar al mar;2.3750;1.7143;2.2
acostumbrarse;2.3750;1.7143;2.2
acotación;1.5000;1.3333;1.4
acotillo;1.1818;2.3333;3.0
acre;1.7500;2.2000;2.8
acrecentar;2.17145;2.27775;1.8
acrecentarse;2.17145;2.27775;1.8
acreditar;2.4000;1.6250;1.6
acribillar;2.0;1.7014;2.5
acta;1.94113333333;2.01716666667;2.46666666667
actas;1.5714;2.0000;1.2
actitud;1.864575;2.089275;1.75
actividad;2.2619;2.5079;2.3
activista;2.2000;2.3750;2.6
activo;2.16666666667;2.33333333333;2.06666666667
acto;2.04465;2.2;3.0
acto de desnudarse;2.0000;2.0000;2.6
acto de exhibicionismo;1.5000;2.2727;2.0
acto de servicio;2.0000;2.8889;2.6
actor;2.3515;2.50606666667;2.73333333333
actor que lee el texto del autor;2.2222;2.2222;2.6
actriz;2.32725;2.7591;2.6
actuación;1.84444;2.38494;2.2
actuación interpretación;2.2222;2.6667;2.2
actual;2.2500;1.7500;2.4
actualidad;2.2500;1.7500;2.4
actuar;2.13495;2.5889;2.4
actuarse;1.7143;2.4000;3.0
acuartelar;2.2500;1.4000;2.6
acuartelarse;2.2500;1.4000;2.6
acuchillar;1.5714;1.5455;3.0
acudir;1.75476666667;1.59176666667;1.46666666667
acudir en tropel;1.5714;1.7778;2.6
a cuenta;2.0000;1.0000;1.0
acuerdo;2.09897777778;1.67532222222;1.86666666667
acuerdos;2.2000;2.1111;1.4
acuitar;1.2727;2.0000;1.8
acular;1.7143;1.5000;2.8
acumulación;2.07145;1.75;2.0
acumular;1.8875;1.8988;1.8
acumularse;1.8462;1.6923;2.4
acuñar;1.83035;1.82915;2.5
acusación;1.75715;1.7738;1.4
acusado;1.7000625;1.9265375;1.85
acusar;1.9387;1.88268333333;2.13333333333
acusatorio;1.0000;1.7143;2.4
adalid;1.92855;2.2143;2.0
adaptación;1.609525;2.01875;2.2
adaptar;1.8264;1.35715;2.7
adecuado;2.16885;1.97915;2.3
adecuar;1.5714;2.0000;1.0
adelantado;2.2857;2.3750;2.0
adelantamiento;2.2111;1.99816666667;1.66666666667
adelantar;1.61171666667;1.88571666667;1.86666666667
adelantarse;2.2500;1.7143;2.0
adelante;2.0;1.8788;2.2
adelanto;2.28382;2.12176;1.52
adelgazar;2.07385;1.83335;2.7
ademán;1.74446666667;2.2824;2.13333333333
además;1.7500;1.5000;1.4
además de;1.79165;1.47915;1.9
adentrarse;1.3333;2.7143;2.6
aderezar;2.1000;1.8000;2.4
aderezo;1.83335;1.7;1.8
adherencia;1.2857;2.5556;2.8
adherir;1.8333;1.8000;3.0
adherirse;2.04165;2.1222;2.9
adición;1.6000;1.3750;2.4
adicional;1.9293;1.75;2.1
adiestramiento;1.6000;1.7500;2.0
adiestrar;2.0000;2.0000;2.8
adiestrarse;2.0000;2.0000;2.8
aditamento;2.03333333333;1.68846666667;2.0
adivinación;1.2000;2.0000;1.0
adivinanza;1.6;1.8889;1.6
adivinar;1.7875;1.9375;1.3
adjudicación;2.66665;1.6875;2.8
adjudicar;2.66665;1.6875;2.8
adjunto;2.0000;1.6000;1.8
administración;1.61278333333;2.09385;1.93333333333
administrador;1.39285;1.7591;2.4
administrador jurídico;2.4000;2.0000;2.4
administrar narcóticos;1.2857;1.2857;2.6
administrar una dosis;1.4018;1.33035;1.5
admiración;2.33335;1.8889;1.4
admirador;2.27775;2.05;2.7
admirarse;2.1667;2.0000;1.0
admisión;2.0000;1.6364;2.0
admitir;2.0000;2.0000;3.0
admitirse;1.8125;2.05;2.1
adobar;2.1000;1.8000;2.4
adobo;1.72225;2.16665;1.8
adonde;1.9091;1.6000;1.2
adopción;1.73335;2.275;1.9
adoptar;2.0625;2.3472;2.8
adoquín;1.1429;1.4444;2.8
adoración;2.0000;1.8333;2.0
adorar;2.0000;1.8333;2.0
adornar;1.77334;2.06888;1.88
adornar con azulejos;1.6250;1.5000;2.6
adornar con colgaduras;1.5556;2.0000;2.2
adornar con cuadros;1.1667;2.0000;1.8
adornar con dibujos;1.625;1.5625;2.8
adornar con pliegues de tela;1.5556;2.0000;2.2
adornar con ribete;1.7778;1.5556;2.6
adornarse;2.1000;1.8000;2.4
adorno;2.3448;1.83283333333;2.26666666667
adquirir;1.92685;1.842425;1.8
adquisición;1.99355;1.94875;1.7
adscripción;2.0000;2.0000;1.4
aduana;1.7143;1.5000;2.4
adulatorio;2.3333;2.2857;1.4
adulterado;1.3333;1.8000;1.4
adulterar;1.63453333333;1.55356666667;2.0
adulto;2.4000;2.0769;2.8
adversario;1.72915;1.69445;2.0
adversidad;1.4375;2.13395;1.4
adverso;1.7000;2.0000;1.8
advertencia;1.6217;2.05186666667;2.06666666667
advertir;1.54365;1.417175;2.3
a él;1.7778;1.4545;2.2
a ella;2.2857;1.4444;1.8
aéreo;1.5000;1.6000;2.6
aeronave;1.8750;1.7273;2.8
aeroplano;1.5000;1.7778;2.6
aeropuerto;1.6667;1.7778;3.0
a eso de;1.7778;2.0000;1.6
afable;1.6667;1.8750;1.0
afán;2.18055;1.76365;2.1
afección;1.67045;1.747225;1.9
afectación divertida;2.5000;1.5714;3.0
afectar;1.792425;1.78441666667;1.86666666667
afecto;2.75255;1.875;1.8
afectos;2.2000;2.1111;1.4
afectuoso;2.39585;1.38335;1.7
afeite;1.8750;1.7273;2.6
afeminación;2.5000;1.5714;3.0
aferrar;1.6250;2.2500;2.2
aferrarse;2.8000;1.7143;2.8
afianzar;2.51516666667;1.7;1.73333333333
afiche;2.2222;1.4943;2.6
afición;2.34858571429;2.28178571429;1.8
aficionado;2.2111;2.12;2.32
aficiones;2.2000;2.1111;1.4
afilado;2.04166666667;1.85236666667;1.93333333333
afilar;1.64016666667;1.5841;2.13333333333
afiliación;2.1111;2.1111;1.2
afiliarse a;2.2222;1.7273;1.4
afinación;2.3750;1.6667;1.4
afinado;2.45;2.1;1.7
afinar;2.08333333333;1.64443333333;2.2
afincarse;2.0000;1.3333;1.8
afinidad;2.6000;2.3333;2.0
afirmar;1.7143;2.0000;1.8
afirmarse;2.8000;1.7143;2.8
afirmativo;2.5000;1.8750;2.2
aflicción;1.27878333333;1.89881666667;1.83333333333
afligir;1.68613333333;2.05556666667;1.6
aflojamiento;2.6667;2.0000;1.6
aflojar;1.89733333333;1.6181;1.53333333333
afluencia;1.6667;1.7500;2.0
afluencia mutua;2.1429;1.6667;2.0
afluir;1.61905;1.7639;2.3
africano;2.0000;1.3750;3.0
afrontar;2.2857;1.7500;3.0
afuera;1.59523333333;1.98516666667;1.93333333333
afueras;1.55845;1.56365;2.3
agachada;1.5000;2.2857;2.4
agacharse;1.51785;1.9;2.5
agarradero;1.8333;2.3333;2.8
agarrar;1.91105;1.88911666667;2.21666666667
agarrarse;1.8738;2.02206;2.64
agarrarse a;2.45835;1.325;2.3
agarre;1.71975;2.3932;2.1
agarro;1.975;1.92666;2.24
agarrotamiento;1.6250;1.8571;2.8
agasajo;2.5455;2.5833;2.4
agazapar;1.5000;2.4000;1.6
agencia;1.79165;1.6869;2.1
agente;1.62856666667;1.66666666667;2.06666666667
agente de policía;1.7778;2.1111;2.8
ágil;3.0000;2.6364;1.8
agilidad;1.4286;2.2727;3.0
agitación;2.08035;2.4375;2.2
agitar;1.79953333333;2.05621666667;2.1
agitar el brazo;2.4000;2.2222;2.8
agitarse;2.0197;2.13466666667;2.66666666667
aglomeración;1.9000;2.5000;2.6
agobiar;1.3;1.55115;2.0
agobio;1.0000;1.7273;1.6
agolparse;1.3750;2.0000;3.0
agonizante;1.1818;2.2727;2.4
agotador;1.5455;2.0833;2.0
agotamiento;1.57385;1.94445;1.8
agotamiento nervioso;1.0000;2.5556;1.6
agotar;1.365525;2.209075;2.0
agraciar;2.8000;1.8000;1.4
agradable;2.6000;1.7500;1.2
a granel;1.6364;1.5714;2.0
agraviado;1.5000;2.0000;2.2
agredir;1.0;2.71425;2.7
agregar;1.9000;2.0833;1.6
agresión;1.25;2.20713333333;2.46666666667
agresivo;1.2000;2.6923;2.2
agreste;2.1111;2.0000;2.0
agriado;1.7500;2.2000;2.8
agriar;1.5714;2.1667;2.6
agriarse;1.5714;2.1667;2.6
agrícola;2.1000;2.3636;2.4
agricultor;2.0000;1.7273;3.0
agricultura;2.04523333333;1.63786666667;2.53333333333
agrietamiento;1.4444;2.1667;2.0
agrietar;1.8333;1.7778;2.8
agrietarse;1.8333;1.7778;2.8
agrio;1.2500;2.0000;3.0
agrupación;2.0000;1.6667;2.4
agrupar;1.734625;1.760425;2.0
agruparse;1.7414;1.625;2.0
agua;2.5000;1.7143;3.0
aguacate;2.0000;1.0000;3.0
aguacil;1.6667;2.2000;3.0
aguafiestas;1.25;1.64585;1.8
aguantar;1.74833636364;1.84786363636;2.05454545455
aguante;1.8571;2.6250;2.4
aguar;2.1875;1.85715;2.9
aguardado;1.6000;1.4286;2.6
aguardar;1.70833333333;1.82396666667;2.06666666667
aguas de albañal;1.2857;1.5000;3.0
aguas residuales;1.2857;1.5000;3.0
agudeza;2.5455;1.4615;1.0
agudo;2.4875;2.2091;2.05
aguerrir;2.3750;1.7143;2.2
aguerrirse;2.3750;1.7143;2.2
aguijar;1.1111;2.0000;2.0
aguijonazo;1.1111;2.0000;2.0
aguijonear;1.42855;2.45235;2.0
aguilón;1.7143;1.8571;3.0
aguja;1.55156666667;1.81743333333;2.13333333333
aguja afilada;1.7500;2.2000;2.8
aguja de reloj;1.7143;1.8571;2.8
agujas;1.4286;1.2857;2.2
agujerear;1.43055;1.7;2.4
agujero;1.375;1.325;2.3
ahínco;2.3333;2.4444;1.8
ahogar;1.0000;2.0000;3.0
ahorcar;1.1667;2.0000;1.8
ahorcarse;1.1667;2.0000;1.8
ahorrar;2.53333333333;1.54763333333;1.66666666667
ahorro;2.7000;1.7778;1.8
ahorros;2.8750;1.4286;1.6
ahuecado;1.5000;1.1250;2.4
ahumar;1.16665;1.71425;2.8
ahuyentar;1.3750;2.3750;2.2
ahuyentar por un árbol;2.8333;1.6000;3.0
aire;2.13232;1.89152;1.88
airear;2.0000;1.4000;2.4
aire pesado;2.0000;1.7143;1.4
aislado;1.6875;1.57145;1.9
aislamiento;2.2143;1.2857;1.7
aislante;2.0000;1.0000;2.0
aislar;1.3750;1.7143;2.6
ajardinar;1.8000;1.5556;2.4
ajustado;2.4286;2.0000;1.8
ajustar;2.00056;1.5943;2.52
ajuste;1.8131;1.80811666667;2.36666666667
ala;2.2222;1.6250;3.0
alabanza;2.24605;2.5873;2.2
alabanzas;2.7143;2.2857;1.4
alabar;2.7143;2.2857;1.4
álabe;1.7000;2.0000;2.2
alabeo;2.0000;1.4000;1.6
a la derecha;2.4286;2.0000;1.8
al aire libre;2.2000;2.5000;2.6
a la manera de;1.8000;1.2500;1.4
alambrar;1.65;1.3778;2.6
alambre;1.65;1.3778;2.6
alameda;1.9091;1.8807;2.3
alarde;1.91572;2.1354;2.2
alardear;1.0000;2.3571;1.6
alargar;1.96112;1.90642;2.28
alarma;1.5;2.51666666667;2.13333333333
alarmar;1.0000;2.2500;2.6
a la sombra;1.8750;1.5000;2.0
a la vez;2.3000;1.5000;2.2
alba;2.1667;1.4444;2.6
albañal;1.1111;1.5000;3.0
albarda;1.4444;2.4444;2.2
albardar;1.4444;2.4444;2.2
albedrío;1.8333;1.4000;1.0
alberca;2.2500;1.3750;2.6
albergar;2.05953333333;1.74603333333;2.46666666667
albergue;2.05953333333;1.74603333333;2.46666666667
albóndiga;2.0000;2.0000;3.0
albor;1.6667;1.6667;1.0
alborada;2.1667;1.4444;2.6
alborear;2.1667;1.4444;2.6
alborotar;1.0000;2.8000;1.8
alboroto;1.10555;2.4889;1.55
alborozo;2.8889;2.3077;1.4
alcalde;2.0000;2.0000;2.0
alcance;1.63400833333;1.778075;1.98333333333
alcance del oído;1.6000;1.5000;1.4
alcantarilla;1.1919;1.97725;2.8
alcanzar;1.97759;1.92446;2.16
alce;2.0000;1.6000;3.0
alcista;1.85;2.10455;2.4
alcoba;2.1667;1.5000;3.0
alcohol;2.13495;2.1625;2.4
alcohólico;1.0000;2.1667;3.0
alcoholizado;1.0000;2.1667;3.0
al corriente;1.8571;1.3333;1.2
alcorzar;1.5000;1.6250;2.8
aldea;2.3333;2.2000;2.6
al descubierto;1.125;1.5556;2.8
al detalle;2.0000;1.5714;2.2
alegar;2.2500;1.6667;2.2
alegato;1.4;2.1602;1.66666666667
alegrar;2.6667;1.6000;1.6
alegre;1.8000;1.4444;3.0
alegremente;2.6667;2.5000;2.4
alegría;2.86773333333;2.48033333333;1.8
alejar;1.7143;1.7143;2.6
alentar;1.4000;1.7778;2.6
alerta;2.0;2.5;2.2
alertar;1.0000;2.2500;2.6
aleta;2.04305;1.827675;2.65
aletargado;1.5000;2.1667;1.4
al exterior de;2.0000;2.2222;2.6
alfabetismo;2.4444;1.8333;1.2
alfarería;2.1000;1.1000;3.0
alfil;1.6667;1.5455;2.6
alfiler;1.7273;1.7273;3.0
alfilerazo;1.1111;2.0000;2.0
alfombra;1.5714;1.1250;3.0
alfombra de pasillo;1.8333;2.2000;2.8
alfombrar;1.5714;1.1250;3.0
algo;1.82856;1.87616;1.48
algo de;2.0000;2.0000;1.0
algodón;2.0000;1.4167;3.0
algo sin dificultades;2.1000;1.9091;2.0
alguacil;1.6667;1.8778;2.8
alguien;1.97856666667;1.85556666667;1.86666666667
algún;2.0000;2.0000;1.0
algunas;2.0000;2.0000;1.0
alguno;1.6889;1.63333333333;1.26666666667
algunos;1.77776666667;1.7143;1.13333333333
alhaja;2.13335;1.5079;1.7
alhelí;1.8750;1.7143;2.0
alianza;2.225;1.5625;2.2
aliciente;1.6667;1.5000;1.4
alienación;1.0000;1.7273;2.0
aliento;2.318175;2.075;2.05
aligación;1.9167;1.7692;1.6
aligeramiento;3.0000;1.7500;2.6
aligerar;2.5556;1.5556;1.2
alimentación;2.4000;1.8333;2.6
alimentar;2.325;2.0808;2.1
alimentarse;2.325;2.0808;2.1
alimento;2.4286;1.3333;2.6
aliñar;2.1000;1.8000;2.4
alineado;2.4000;2.0000;1.4
alinear;1.9921;2.02525;2.2
alinearse;1.7643;1.53635;2.5
aliño;1.6667;2.0000;2.0
alisar;2.7000;1.4545;2.0
alistar reclutas;1.8000;2.1667;1.8
alistarse;2.2222;1.7273;1.4
alistarse en;1.5556;2.0000;2.4
aliviadero;1.1429;2.6250;2.6
aliviar;2.215825;1.7906;1.85
alivio;2.67778;1.93414;1.92
aljibe;1.56346666667;1.66813333333;2.8
al lado;1.79465;1.4675;1.9
al lado de;1.3333;1.6667;1.0
allanar;1.89556;1.5159;2.12
allende el mar;1.9091;1.6364;2.4
alma;2.250025;1.82985;2.1
almacén;1.7805;1.74505;2.3
almacenaje;1.8333;1.4000;2.4
almacenamiento;1.8333;1.4000;2.4
almacenar;1.83333333333;1.43056666667;2.73333333333
almacén de granos;2.0000;2.4286;3.0
alma de cría;1.8000;1.7273;3.0
alma de la compañía;1.2000;2.0000;3.0
almádena;1.1818;2.3333;3.0
al menos;1.6000;1.6364;1.0
almohadillar;1.4444;1.7000;3.0
almorrana;1.8462;1.6923;2.4
almorzar;2.11113333333;1.53706666667;2.4
almuerzo;2.08335;1.631975;2.5
al norte;1.4444;1.5556;1.8
alocución;1.8750;1.6364;2.8
alojamiento;2.08653333333;1.55556666667;2.53333333333
alojar;2.01666;1.615;2.84
alojar en casa;1.3333;1.6000;2.6
alojarse;2.1875;1.7;2.8
alojarse en casa;1.6667;1.6667;2.8
a lo largo de;1.8571;1.5000;2.0
al otro lado de;2.0;1.9236;2.4
alpinismo;1.9091;2.5455;2.4
alpinista;1.8571;2.0000;2.2
al por menor;2.0000;1.5714;2.2
alquería;1.8571;2.0000;3.0
alquilar;1.79818;1.72222;1.76
alquilarse;1.6667;1.7000;1.0
alquilar un vehículo;1.8182;1.7273;2.0
alquiler;1.88165;1.745725;1.85
alquiler trimestral;2.2500;1.4000;2.6
alrededor de;1.7778;2.0000;1.6
alrededores;2.23216666667;1.82736666667;2.46666666667
al revés;1.26135;1.8736;1.8
alta;2.075;1.42065;2.9
alta burguesía;1.4000;1.2857;1.2
altavoz;2.14285;2.58335;2.8
alteración;1.67145;2.2;1.6
alterar;1.46905;2.25985;2.05
alterarse;1.3333;2.6000;1.8
altercado;1.4167;2.35835;1.8
alternación;1.8333;1.5000;1.8
alternar;1.8571;2.0000;1.8
alternarse;1.8571;2.0000;1.8
alternativa;1.9127;1.7389;1.4
alternativas;1.8750;1.7273;1.8
alterno;1.8571;2.0000;1.8
altitud;1.7500;1.6250;1.8
alto;1.91441666667;1.95291666667;2.03333333333
altura;1.85555;1.9118;2.2
altura de cabo;1.7000;1.4545;3.0
altura de columna;1.6667;1.4000;2.0
alumbrado;1.8000;1.6667;2.4
alumbramiento;2.0909;2.0;2.1
aluminio;1.5000;1.4286;3.0
alumno;2.038675;1.6262;2.2
alumnos;1.7778;1.7500;2.6
alunizaje;1.5000;1.8000;2.2
alusión;1.7;1.55;1.4
alusiones personales;2.4444;2.4444;1.6
alza;2.203775;2.194425;1.95
alzacuello;1.6250;1.9000;2.6
alzado;1.7500;2.4000;1.6
alzamiento;1.4000;1.7778;2.6
alzar;1.73;1.97462;2.4
alzar en los naipes;1.5000;1.8889;3.0
alzarse;1.9574;2.0;2.26666666667
amabilidad;2.37725;1.58335;1.5
amabilidades;2.2000;2.1111;1.4
amable;2.39283333333;1.8352;1.66666666667
amado;2.645825;2.1202;1.55
amaestrar;2.0000;2.0000;2.8
amago;2.5278;1.9375;2.0
amainar;2.5556;1.5556;1.2
amainarse;1.645825;2.002725;2.2
amañar;2.0000;2.0909;2.0
amanecer;2.1667;1.4444;2.6
amansar;1.2;2.2197;2.4
amante;2.35715;2.4375;2.7
amar;3.0;2.5404;1.3
amaraje;1.5000;1.8000;2.2
amarar;1.5972;1.3472;3.0
amargo;1.0909;2.0769;2.2
amargor;1.3333;2.1250;1.6
amargura;1.3333;2.1250;1.6
amarillo;2.3;2.1111;3.0
amarra;1.5000;2.0000;3.0
amarrar;2.4286;1.5000;2.0
amateur;1.0000;1.7143;2.6
ambición;2.13035;2.270825;1.7
ambiente;2.19186666667;1.39271666667;2.43333333333
ambigüedad;1.4000;1.2500;1.4
ambiguo;1.8889;1.5556;2.6
ámbito;1.7500;1.5714;2.0
amblar;1.6250;2.2500;2.0
ambos;1.625;1.4444;1.0
ambulante;2.55;2.1889;2.6
amén;2.5000;2.3333;2.4
amenaza;1.15;2.55355;2.2
amenidad;2.8000;1.8000;1.4
amenizar;2.3750;1.7143;2.2
ameno;1.8000;1.4444;3.0
americana;1.90236666667;1.57143333333;2.86666666667
amerizaje;1.5000;1.8000;2.2
amerizar;1.7500;1.2500;3.0
amiga;2.2500;1.7500;2.6
amigo;2.52381666667;2.10291666667;2.53333333333
amigos;2.2857;2.4286;3.0
amiguita;2.2096;2.04923333333;2.66666666667
amiguitas;2.1250;2.0000;2.6
amistad;2.325;1.96296666667;1.86666666667
amistoso;2.5714;1.8889;2.0
amnesia;1.0000;1.6250;2.4
amo;2.3333;1.5833;2.4
amoldamiento;1.8571;2.1429;2.0
amoldar;1.93966666667;1.60173333333;2.4
amonestación;1.3611;2.1778;2.0
amonestar;1.2222;1.5556;2.4
amontonamiento;1.7500;2.4000;1.6
amontonar;1.63844;1.59164;2.44
amontonarse;1.8731;1.8878;2.0
amor;2.92593333333;2.5084;1.4
amoratado;2.0000;1.2500;2.8
amordazar;1.1429;2.0000;2.6
amorío;2.5556;2.4444;2.4
amoroso;2.1250;1.1667;1.8
amor propio;2.4000;1.9000;1.4
amortajar;1.5556;1.6000;3.0
amortiguador;1.4;1.42725;2.1
amortiguamiento;1.7778;1.6667;1.6
amortiguar;1.65;1.880675;2.3
amparar;2.05953333333;1.74603333333;2.46666666667
amparo;2.401775;2.174625;2.1
ampliación;2.0524;2.24723333333;1.66666666667
